FIPS,RUCC_2013,Description,IsMetro,RUCC_2013_Factor
20011,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
20013,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
20015,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
20017,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",FALSE,Nonmetro Rural NonAdj
20019,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",FALSE,Nonmetro Rural Adj
20021,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
20023,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",FALSE,Nonmetro Rural NonAdj
20025,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",FALSE,Nonmetro Rural NonAdj
20027,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
20029,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K NonAdj
20031,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
20033,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",FALSE,Nonmetro Rural NonAdj
20035,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",FALSE,Nonmetro Urban 20K+ Adj
20037,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",FALSE,Nonmetro Urban 20K+ Adj
20039,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",FALSE,Nonmetro Rural NonAdj
20041,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K NonAdj
20043,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,Metro <250K
20045,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,Metro <250K
20047,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",FALSE,Nonmetro Rural NonAdj
20049,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",FALSE,Nonmetro Rural Adj
20051,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",FALSE,Nonmetro Urban 20K+ NonAdj
20053,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K NonAdj
20055,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",FALSE,Nonmetro Urban 20K+ NonAdj
20057,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",FALSE,Nonmetro Urban 20K+ NonAdj
20059,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
20061,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",FALSE,Nonmetro Urban 20K+ Adj
20063,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",FALSE,Nonmetro Rural NonAdj
