FIPS,RUCC_2013,Description,IsMetro,RUCC_2013_Factor
21219,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",FALSE,Nonmetro Rural Adj
21221,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
21223,1,Metro - Counties in metro areas of 1 million population or more,TRUE,Metro 1M+
21225,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
21227,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,Metro <250K
21229,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",FALSE,Nonmetro Rural NonAdj
21231,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K NonAdj
21233,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",FALSE,Nonmetro Rural Adj
21235,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K NonAdj
21237,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",FALSE,Nonmetro Rural NonAdj
21239,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22001,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22003,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22005,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22007,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22009,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22011,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22013,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22015,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22017,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22019,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,Metro <250K
22021,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",FALSE,Nonmetro Rural Adj
22023,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,Metro <250K
22025,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",FALSE,Nonmetro Rural NonAdj
22027,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22029,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K NonAdj
22031,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22033,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22035,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K NonAdj
22037,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22039,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22041,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K NonAdj
22043,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,Metro <250K
22045,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22047,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22049,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22051,1,Metro - Counties in metro areas of 1 million population or more,TRUE,Metro 1M+
22053,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22055,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22057,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,Metro <250K
22059,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22061,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",FALSE,Nonmetro Urban 20K+ Adj
22063,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22065,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K NonAdj
22067,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22069,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22071,1,Metro - Counties in metro areas of 1 million population or more,TRUE,Metro 1M+
22073,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,Metro <250K
22075,1,Metro - Counties in metro areas of 1 million population or more,TRUE,Metro 1M+
22077,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22079,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,Metro <250K
