FIPS,residual_R,fitted_R,residual_F,fitted_F
1001,-0.06812315215121612,0.5919771709379388,-0.0618466062593278,0.5857006250460505
1003,-0.12643772173136422,0.6032157502918255,-0.11178184789141399,0.5885598764518752
1005,-0.0014987936866102574,0.6807565220522137,2.5316850558307845e-4,0.6790045598600204
1007,-0.013988924898643035,0.47094718445623107,-0.004770858137196778,0.46172911769478486
1009,-0.14295132628450624,0.45363280213767004,-0.12166379636831164,0.43234527222147545
1011,0.025000920806842214,0.841275900503413,0.01910807819483578,0.8471687431154196
1013,-0.0014358469721144694,0.6501105961239525,-0.026701724418469897,0.6753764735703078
1015,-0.043269735506131723,0.5931813325458741,-0.04108780681136238,0.5909994038511047
1017,0.0491546304581375,0.5997069206259131,0.015209420335904764,0.6336521307481459
1019,-0.0773704277046154,0.4421147443222976,-0.07677748294679722,0.4415217995644794
1021,-0.07791078764578403,0.47841418154638504,-0.06919653461113007,0.4696999285117311
1023,0.06779948250945843,0.5812446153284312,0.0536713579422267,0.595372739895663
1025,0.04487923323339445,0.6184595609332063,0.047845308654118235,0.6154934855124825
1027,0.016586183523698242,0.4129237056109991,0.01832088468147704,0.4111890044532203
1029,-0.05774222952649266,0.3648039679270951,-0.058011027259443314,0.3650727656600457
1031,-0.07989732994011216,0.5605112646111743,-0.052183993895339516,0.5327979285664017
1033,0.014925862314318524,0.5354151146929366,0.009894184058300996,0.540446792948954
1035,0.044009578538439564,0.6363277755212945,0.027738948208156297,0.6525984058515778
1037,0.009978936185751484,0.565293079645542,0.003655867993393936,0.5716161478378996
1039,-0.10390326112656981,0.50041255302135,-0.08501416575100863,0.4815234576457888
1041,-0.023409529190912926,0.5323185684449823,-0.03426766270046392,0.5431767019545333
1043,-0.11710304085160413,0.4461533329961333,-0.08731563182696224,0.4163659239714914
1045,-0.0668919511552443,0.58215480342814,-0.04641757302678557,0.5616804252996813
1047,-0.026941599565486217,0.8569168200941476,-0.026875660802789504,0.8568508813314508
1049,-0.07497697323719212,0.4588737833833562,-0.029209596410479932,0.41310640655664405
1051,-0.0893840301503308,0.5951305423264406,-0.08308690115276933,0.5888334133288791
1053,-0.024348934889255568,0.5824906070458865,-0.010613805564554457,0.5687554777211854
1055,-0.03962357510635558,0.5352140704736498,-0.03610628879353049,0.5316967841608247
1057,-0.05849810248779176,0.4590440206799511,-0.05200224978506345,0.4525481679772228
1059,-0.08163655587697782,0.49076838843342896,-0.05617059284244295,0.4653024253988941
1061,-0.08951646392565023,0.4475451319938651,-0.06585454330084815,0.42388321136906304
