FIPS,COUNTYNAME,N1,A00100,A00200,A00900,A01000,A01700,A02300,A02500,A26270,A19300,A19700,A10300,A59660,N59660,A11070
29099,Jefferson County,114120,6735912,5136889,146988,162260,589255,161983,253560,175801,40764,37416,665710,33558,15520,19652
29101,Johnson County,24110,1295610,950109,37167,32541,147983,22312,45444,41497,5806,7623,117312,8076,3650,5857
29103,Knox County,1790,66281,44263,2856,3204,6342,1056,3319,4449,0,570,5086,809,320,434
29105,Laclede County,16610,727899,522339,31914,24116,68823,26206,24142,35411,2874,6002,63538,8729,3740,5443
29107,Lafayette County,15940,864518,618103,22337,32603,86011,15423,36631,22322,3388,4897,79309,5555,2440,3573
29109,Lawrence County,17500,781817,580961,23604,33417,71251,19090,28334,42101,2367,5846,63863,8854,3590,5875
29111,Lewis County,4260,204993,155318,4809,6646,16746,4373,8351,6158,207,537,17582,1578,700,969
29113,Lincoln County,29800,1718691,1319254,40349,39450,138378,38947,59362,58038,9572,9719,159250,9919,4420,6582
29115,Linn County,5730,267354,180930,8708,9095,27642,5448,11719,10664,501,770,25050,2538,1060,1403
29117,Livingston County,7180,342169,214616,13868,13647,31204,4689,15632,25966,1133,2716,34316,2817,1230,1694
29119,McDonald County,10140,411455,339839,15707,10181,29033,10242,11353,7481,1481,2196,31759,6937,2730,4290
29121,Macon County,7370,333252,227448,12443,9849,38065,6271,15294,12523,636,1704,28953,2695,1230,1686
29123,Madison County,5480,241416,171659,5457,8934,27248,7519,9399,4956,520,1048,18790,2772,1200,1615
29125,Maries County,4000,172372,133060,4841,5847,25137,3342,8118,4114,539,773,13366,1637,680,991
29127,Marion County,13510,717397,511488,17789,23308,60651,12965,28674,29979,2075,6676,72034,5724,2510,3335
29129,Mercer County,1620,63283,51129,4325,2683,7792,1191,2889,2792,0,0,6014,466,230,281
29131,Miller County,11690,522420,375322,17382,19134,54236,13994,21320,20402,2408,2446,46294,5705,2460,3463
29133,Mississippi County,5820,235317,151495,4180,9046,17119,4890,10251,17083,501,1351,24135,3486,1420,1622
29135,Moniteau County,7320,341168,246599,13329,10258,38425,5056,14903,11708,863,2350,29651,2792,1210,1922
29137,Monroe County,4100,196425,130693,3106,9902,20783,4129,9835,7100,253,500,17709,1522,680,963
