FIPS,PCT_NO_HS,PCT_HS_ONLY,PCT_SOME_COL,PCT_BACH
1001,9.721097947,32.67593887,29.32028356,28.28267962
1003,8.268600135,27.54203782,31.391725,32.79763704
1005,22.18629453,37.60494668,28.74404357,11.46471523
1007,19.65978281,41.12736175,27.7446488,11.46820664
1009,17.30379839,35.61757459,31.49959747,15.57902954
1011,25.95554351,40.58010301,24.46462456,8.999728924
1013,12.40504406,46.96140991,26.86873291,13.76481313
1015,13.91379552,34.48815292,31.05294619,20.54510537
1017,16.3780428,38.45368404,30.58323803,14.58503512
1019,16.1314374,37.3595356,30.56398786,15.94503914
1021,15.81292484,41.23979575,27.70026344,15.24701597
1023,15.78128473,40.47566126,29.82885086,13.91420316
1025,14.73130402,42.37128899,27.47087561,15.42653138
1027,17.24339604,37.01140462,30.50979628,15.23540306
1029,14.60270693,38.94668999,28.23865206,18.21195102
1031,13.97680468,29.08085844,35.41350531,21.52883156
1033,12.45058324,34.55512714,32.72243643,20.27185319
1035,12.51384275,48.08662483,26.2704565,13.12907592
1037,17.22747322,39.50850662,28.39319471,14.87082546
1039,13.8176046,36.83056805,32.17430742,17.17751994
1041,17.42091388,41.30052724,24.47275923,16.80579965
1043,15.00480769,30.98237179,34.92628205,19.08653846
1045,14.27642469,31.18053913,35.21518089,19.32785528
1047,12.94154546,39.04026346,31.01109499,17.00709609
1049,21.05480357,33.64765599,31.41713437,13.88040607
1051,10.41087926,34.46766587,30.72711415,24.39434072
1053,17.46735166,43.19385074,26.84811169,12.49068591
1055,14.22213036,33.96858206,34.33236875,17.47691884
1057,14.76827094,37.89661319,31.73796791,15.59714795
1059,20.51427491,39.40253356,25.19379845,14.88939308
1061,16.79055301,37.35568559,32.5372977,13.3164637
1063,17.9939325,45.63898369,23.89078498,12.47629882
1065,18.10794543,38.2423756,26.87600321,16.77367576
1067,17.76450244,32.37698475,28.17953152,21.67898129
1069,12.60034904,32.08887099,32.54262317,22.7681568
1071,17.94404856,37.88070731,28.62496701,15.55027712
1073,9.008057757,25.89349154,29.16168969,35.93676101
1075,16.10014248,41.02381437,31.28434765,11.5916955
1077,10.69596957,33.60336357,28.61653139,27.08413547
1079,15.44054748,41.12917023,27.8100941,15.6201882
1081,8.574288965,21.79658703,28.29579067,41.33333333
1083,12.43749504,26.367172,30.80403207,30.3913009
1085,16.77382483,43.99199886,25.36076582,13.87341049
1087,15.79624389,31.72112169,31.74684847,20.73578595
1089,7.409038043,19.17419715,27.7264739,45.69029091
1091,14.38292607,34.43396226,30.76863594,20.41447572
1093,17.8913892,36.09598612,33.18074495,12.83187973
1095,15.57924815,32.67939717,30.41494477,21.32640991
1097,10.99169307,33.81968828,30.03839456,25.15022409
1099,16.38531023,45.5649341,26.69184066,11.357915
1101,11.15619065,26.18361466,28.38616715,34.27402754
1103,14.91544545,31.45734667,30.38675332,23.24045456
1105,17.82767223,42.60218768,22.72116676,16.84897333
1107,16.11813106,43.00617103,27.13047311,13.7452248
1109,12.41732121,33.9654816,26.30219099,27.3150062
1111,16.39898024,35.583174,27.50159337,20.51625239
1113,14.21074989,31.052749940000002,37.88450486,16.8519953
1115,12.41508048,34.66858437,32.97325418,19.94308097
1117,5.991990142,20.45081125,27.35867221,46.19852639
1119,12.04886954,34.12442073,34.79848336,19.02822637
1121,15.48865167,35.80681936,31.88067848,16.82385049
1123,16.1911483,32.73515475,32.34869106,18.72500588
1125,9.129169371,28.85040865,30.64274098,31.377681
1127,17.12076993,34.32174126,32.55508276,16.00240604
1129,11.31495623,40.91078413,31.57012479,16.20413485
1131,22.13244842,39.07084115,26.46082816,12.33588227
1133,21.23343886,40.08090046,25.31363583,13.37202486
2013,16.11047181,39.50901419,26.23705409,18.14345992
2016,9.512879368,38.76562102,34.20045907,17.52104055
2020,5.991843944,24.48998675,31.83926855,37.67890075
2050,18.07288086,47.89313427,23.64207838,10.39190649
2060,5.028735632,30.45977011,39.36781609,25.14367816
2063,4.320098745,25.59144209,40.50606871,29.58239045
2066,9.016838675,26.50733297,36.121673,28.35415535
2068,6.614552014,46.36199639,23.39146121,23.63199038
2070,12.64407964,42.4380021,25.56758645,19.35033182
2090,5.118695574,25.56243567,35.61030601,33.70856275
2100,1.644528779,29.79127135,31.62555345,36.93864643
2105,6.477272727,35.79545455,34.43181818,23.29545455
2110,5.349812211,21.32500655,32.86749934,40.45768189
2122,5.691133515,30.62753227,34.29049279,29.39084142
2130,5.077616425,29.334001,38.61792689,26.97045568
2150,7.462157048,28.94985809,34.98107852,28.60690634
2158,18.95343015,52.32849274,22.95943916,5.758637957
2164,8.895705521,47.39263804,25.30674847,18.40490798
2170,5.706819177,33.86055166,36.15230954,24.28031961
2180,11.39354606,44.22210204,26.93347756,17.45087435
2185,9.819227609,43.71405094,31.5393043,14.92741715
2188,14.07933399,45.91087169,27.61998041,12.38981391
2195,9.407948094,29.6431468,33.49553933,27.45336577
2198,7.540263543,38.84821864,36.62762323,16.98389458
2220,4.359940993,25.01229307,36.25635142,34.37141452
2230,6.262042389,36.70520231,29.28709056,27.74566474
2240,6.974753958,37.99743261,35.45143346,19.57637997
2275,9.768976898,31.81518152,39.5379538,18.87788779
2282,7.788944724,43.96984925,33.41708543,14.8241206
2290,13.36590974,39.35038804,34.49267031,12.79103191
4001,15.07781414,31.22925152,38.4244108,15.26852353
