FIPS,PRES_DEM_RATIO
1001,0.274423032999
1003,0.227317288518
1005,0.4613910615444
1007,0.2088108509779
1009,0.0965229794383
1011,0.7504355311394
1013,0.4207789301872
1015,0.3024027645588
1017,0.4210213124752
1019,0.1330384165049
1021,0.1604029685259
1023,0.4212582409382
1025,0.4400183558464
1027,0.1844787448645
1029,0.0942869111896
1031,0.2309897542
1033,0.3028751909733
1035,0.462858915329
1037,0.3309378921986
1039,0.1572196185589
1041,0.2589884102345
1043,0.1082740947604
1045,0.2654958069324
1047,0.6888588666916
1049,0.1473767608404
1051,0.2557795345783
1053,0.3115221261978
1055,0.2456099390984
1057,0.1604370325804
1059,0.167388856411
1061,0.1281845271587
1063,0.8161378502846
1065,0.5936346054077
1067,0.2828611731529
1069,0.2836719155312
1071,0.1589344441891
1073,0.5668343901634
1075,0.1367449611425
1077,0.2730543613434
1079,0.2242508232594
1081,0.3975400030613
1083,0.2829938828945
1085,0.7303172945976
1087,0.8218291401863
1089,0.4592404663563
1091,0.5066937208176
1093,0.107038334012
1095,0.1518628299236
1097,0.4397704601288
1099,0.4202037453651
1101,0.6595360040665
1103,0.2501795887947
1105,0.7424504756927
1107,0.4182612299919
1109,0.41204854846
1111,0.2047017216682
1113,0.5323345065117
1115,0.1763607412577
1117,0.2944904863834
1119,0.7441562414169
1121,0.371413230896
1123,0.2813850641251
1125,0.424889177084
1127,0.1567648202181
1129,0.2559510171413
1131,0.6883183121681
1133,0.0872056558728
4001,0.6705915927887
4003,0.4002766013145
4005,0.6229686141014
4007,0.3273425996304
4009,0.2728810012341
4011,0.3269709646702
4012,0.3035981059074
4013,0.5110754370689
4015,0.2402240633965
4017,0.4581308662891
4019,0.5948075056076
4021,0.4122558236122
4023,0.67959856987
4025,0.3514656722546
4027,0.4685499966145
5001,0.2969617843628
5003,0.2769451439381
5005,0.2264178544283
5007,0.3635448515415
5009,0.1832974404097
5011,0.342068195343
5013,0.22647754848
5015,0.3514457941055
5017,0.5633100867271
5019,0.426868647337
5021,0.1905705183744
5023,0.1614160388708
5025,0.1850483268499
5027,0.338465243578
5029,0.314718991518
5031,0.3180714547634
5033,0.2104302793741
5035,0.5372625589371
5037,0.2637689709663
5039,0.3797318637371
5041,0.51206505298610006
5043,0.3580811917782
5045,0.3476917743683
5047,0.1863265037537
5049,0.2071657329798
5051,0.3257642388344
5053,0.1572810709476
5055,0.194430321455
5057,0.3235472142696
5059,0.2508954703808
5061,0.284682393074
5063,0.1996300518513
5065,0.1806440204382
5067,0.2753126323223
5069,0.6114194989204
5071,0.2475870251656
5073,0.3231895267963
5075,0.1911842823029
5077,0.5252860784531
5079,0.274395108223
5081,0.2481279075146
5083,0.1933625489473
5085,0.2261075377464
5087,0.2164520174265
5089,0.2093245834112
5091,0.2626043856144
5093,0.3845115602016
5095,0.4260772764683
5097,0.1935398429632
5099,0.3353069424629
5101,0.1817482709885
5103,0.4300785958767
5105,0.2253395617008
5107,0.5998344421387
5109,0.154696136713
5111,0.1939526051283
5113,0.1504649221897
5115,0.2419821470976
